id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
6769590,Anchorage Waterfront Duplex @ Yamba,35445161,Denise,CLARENCE VALLEY COUNCIL,-29.42401559568306,153.32024197497512,Entire home/apt,350,3,0,,,2,365
7293991,A room for you and your pet!,7540228,Louise,CLARENCE VALLEY COUNCIL,-29.688122904678288,152.93822274606816,Shared room,70,1,0,,,1,0
5458552,Riverside holiday home,16187360,Sara,CLARENCE VALLEY COUNCIL,-29.864659696855842,153.2651355344444,Entire home/apt,95,2,3,2016-02-21,0.93,1,179
4671773,"Pippi Beach Penthouse, view  & pool",24166468,Nina,CLARENCE VALLEY COUNCIL,-29.442513934971227,153.36464131888803,Entire home/apt,170,3,16,2016-03-31,1.29,1,247
5562612,Swan Creek Cottage,14033193,Katrina,CLARENCE VALLEY COUNCIL,-29.657050728035635,152.98939815553695,Entire home/apt,150,1,54,2016-03-30,6.43,1,351
10436861,Furnished bedroom in welcoming home,53762093,Yamba,CLARENCE VALLEY COUNCIL,-29.42603752878788,153.33083548994102,Private room,80,2,0,,,1,365
7681398,BREAKERS 1 - YAMBA RESORT STYLE,26484826,Justine,CLARENCE VALLEY COUNCIL,-29.442732809247556,153.36368693843977,Entire home/apt,160,3,0,,,5,344
8077418,Riverside retreat 2 rooms BYO kayak,29714725,Annie,CLARENCE VALLEY COUNCIL,-29.508574850413318,153.19109556579065,Private room,55,1,21,2016-03-28,3.44,1,171
4688340,Maclean Stays ,22424381,Cathie,CLARENCE VALLEY COUNCIL,-29.453352485077016,153.19946627292595,Entire home/apt,130,1,8,2016-03-15,0.67,1,362
11350387,Tranquil River Frontage...,49039015,Jay,CLARENCE VALLEY COUNCIL,-29.506543006620564,153.19288043074562,Entire home/apt,206,3,0,,,1,264
8993956,Self Contained Private/Room,46752149,Alida,CLARENCE VALLEY COUNCIL,-29.43586645454184,153.36182643497335,Private room,60,1,11,2016-03-22,2.16,1,286
8554942,ULTRA PRIVATE RIVER RETREAT,45031951,Fred,CLARENCE VALLEY COUNCIL,-29.43797007492293,153.31649243467268,Entire home/apt,650,7,0,,,1,63
5318801,Sunsets relax watching the river ,24877605,Kayleen,CLARENCE VALLEY COUNCIL,-29.392445793352316,153.34778522354065,Entire home/apt,205,2,5,2016-03-22,0.50,1,321
2959815,A LuxuryResort with Private Airport,14639272,Beat,CLARENCE VALLEY COUNCIL,-29.57182844002011,153.14961570642993,Entire home/apt,220,1,8,2016-03-30,0.52,2,363
9116981,3/27 The Crescent Angourie,43822888,Angela,CLARENCE VALLEY COUNCIL,-29.4791581683826,153.36121293313585,Entire home/apt,194,2,3,2016-02-20,0.64,3,311
10948019,Holidays like they used to be.,31886660,Hannah,CLARENCE VALLEY COUNCIL,-29.437019848810234,153.34245441765933,Entire home/apt,150,2,1,2016-03-29,1,1,365
8849128,Amarco -luxurious waterfront home.,12945977,Anne & Graeme,CLARENCE VALLEY COUNCIL,-29.39208803638339,153.34930827722704,Entire home/apt,210,3,3,2016-01-02,0.68,1,355
8718021,Lovely self contained granny flat,20858088,Yvette And Richard,CLARENCE VALLEY COUNCIL,-29.437183991748217,153.34241125328288,Entire home/apt,100,1,29,2016-03-29,5.44,1,315
8584400,Point View Beach House,45179077,Michael,CLARENCE VALLEY COUNCIL,-29.815410461324703,153.2871302196741,Entire home/apt,250,5,3,2016-03-29,0.89,1,357
11992418,Family Unit,15441042,Lance,CLARENCE VALLEY COUNCIL,-29.462715071455598,153.18450106000972,Entire home/apt,140,1,0,,,3,365
4165881,Squeakygate B&B 'Standard Room',15441042,Lance,CLARENCE VALLEY COUNCIL,-29.464414625773927,153.18635583167907,Private room,99,1,1,2015-12-28,0.31,3,359
6484436,Hiawatha Hideaway-cosy cruisy quiet,24985324,Suzanne,CLARENCE VALLEY COUNCIL,-29.777889021441684,153.29807342292116,Entire home/apt,97,1,5,2015-12-20,0.80,1,335
